title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Kentucky Facilities Management Department - Janitorial Supply Contract,Kentucky Facilities Management Department,"Frankfort, KY",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Kentucky Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ky.gov,Facilities Director,facilities@dgs.ky.gov,(KY) State Facilities Office,true,open,11/05/2025
Kentucky Department of Education - Janitorial Supply Contract,Kentucky Department of Education,"Frankfort, KY",Education,"$1,000,000 - $5,000,000",02/03/2026,"Kentucky Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ky.gov,Procurement Services,procurement@education.ky.gov,(KY) DOE Procurement,true,open,11/05/2025
Kentucky University System - Janitorial Supply Contract,Kentucky University System,"Frankfort, KY",Education,"$500,000 - $2,000,000",02/03/2026,Kentucky government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.kentucky.gov,Procurement Office,procurement@ky.gov,(KY) State Procurement,true,open,11/05/2025
Kentucky Healthcare Network - Janitorial Supply Contract,Kentucky Healthcare Network,"Frankfort, KY",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Kentucky healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.kentuckyhealthnetwork.org,Supply Chain Director,procurement@kentuckyhealth.org,(KY) Healthcare Procurement,true,open,11/05/2025
Kentucky Hospitality Group - Janitorial Supply Contract,Kentucky Hospitality Group,"Frankfort, KY",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Kentucky hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.kentuckyhospitalitygroup.com,Procurement Manager,purchasing@kentuckyhotels.com,(KY) Hospitality Purchasing,true,open,11/05/2025
Kentucky Commercial Properties - Janitorial Supply Contract,Kentucky Commercial Properties,"Frankfort, KY",Real Estate,"$600,000 - $2,000,000",02/03/2026,Kentucky commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.kentuckyproperties.com,Facilities Management,facilities@kentuckyproperties.com,(KY) Property Management,true,open,11/05/2025
Kentucky Airport Authority - Janitorial Supply Contract,Kentucky Airport Authority,"Frankfort, KY",Airport,"$750,000 - $2,500,000",02/03/2026,"Kentucky airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.kentuckyairport.com,Facilities Procurement,procurement@kentuckyairport.com,(KY) Airport Operations,true,open,11/05/2025
Kentucky Correctional Facilities - Janitorial Supply Contract,Kentucky Correctional Facilities,"Frankfort, KY",Corrections,"$900,000 - $3,000,000",02/03/2026,Kentucky Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ky.gov,Facilities Procurement,procurement@corrections.ky.gov,(KY) DOC Procurement,true,open,11/05/2025
Kentucky Port Authority - Janitorial Supply Contract,Kentucky Port Authority,"Frankfort, KY",Port,"$500,000 - $1,800,000",02/03/2026,"Kentucky port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.kentuckyport.com,Facilities Director,facilities@kentuckyport.com,(KY) Port Operations,true,open,11/05/2025
Kentucky Senior Living & Care - Janitorial Supply Contract,Kentucky Senior Living & Care,"Frankfort, KY",Senior Care,"$600,000 - $2,000,000",02/03/2026,Kentucky assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.kentuckyseniorcare.com,Procurement Director,procurement@kentuckyseniorcare.com,(KY) Senior Care Purchasing,true,open,11/05/2025
Kentucky Retail Chain HQ - Janitorial Supply Contract,Kentucky Retail Chain HQ,"Frankfort, KY",Retail,"$1,200,000 - $4,000,000",02/03/2026,Kentucky retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.kentuckyretail.com,Corporate Procurement,procurement@kentuckyretail.com,(KY) Retail Procurement,true,open,11/05/2025
Kentucky Manufacturing Plant - Janitorial Supply Contract,Kentucky Manufacturing Plant,"Frankfort, KY",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Kentucky manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.kentuckymanufacturing.com,Operations Manager,operations@kentuckymfg.com,(KY) Plant Operations,true,open,11/05/2025
Louisiana Facilities Management Department - Janitorial Supply Contract,Louisiana Facilities Management Department,"Baton Rouge, LA",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Louisiana Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.la.gov,Facilities Director,facilities@dgs.la.gov,(LA) State Facilities Office,true,open,11/05/2025
Louisiana Department of Education - Janitorial Supply Contract,Louisiana Department of Education,"Baton Rouge, LA",Education,"$1,000,000 - $5,000,000",02/03/2026,"Louisiana Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.la.gov,Procurement Services,procurement@education.la.gov,(LA) DOE Procurement,true,open,11/05/2025
Louisiana University System - Janitorial Supply Contract,Louisiana University System,"Baton Rouge, LA",Education,"$500,000 - $2,000,000",02/03/2026,Louisiana government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.louisiana.gov,Procurement Office,procurement@la.gov,(LA) State Procurement,true,open,11/05/2025
Louisiana Healthcare Network - Janitorial Supply Contract,Louisiana Healthcare Network,"Baton Rouge, LA",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Louisiana healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.louisianahealthnetwork.org,Supply Chain Director,procurement@louisianahealth.org,(LA) Healthcare Procurement,true,open,11/05/2025
Louisiana Hospitality Group - Janitorial Supply Contract,Louisiana Hospitality Group,"Baton Rouge, LA",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Louisiana hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.louisianahospitalitygroup.com,Procurement Manager,purchasing@louisianahotels.com,(LA) Hospitality Purchasing,true,open,11/05/2025
Louisiana Commercial Properties - Janitorial Supply Contract,Louisiana Commercial Properties,"Baton Rouge, LA",Real Estate,"$600,000 - $2,000,000",02/03/2026,Louisiana commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.louisianaproperties.com,Facilities Management,facilities@louisianaproperties.com,(LA) Property Management,true,open,11/05/2025
Louisiana Airport Authority - Janitorial Supply Contract,Louisiana Airport Authority,"Baton Rouge, LA",Airport,"$750,000 - $2,500,000",02/03/2026,"Louisiana airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.louisianaairport.com,Facilities Procurement,procurement@louisianaairport.com,(LA) Airport Operations,true,open,11/05/2025
Louisiana Correctional Facilities - Janitorial Supply Contract,Louisiana Correctional Facilities,"Baton Rouge, LA",Corrections,"$900,000 - $3,000,000",02/03/2026,Louisiana Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.la.gov,Facilities Procurement,procurement@corrections.la.gov,(LA) DOC Procurement,true,open,11/05/2025
Louisiana Port Authority - Janitorial Supply Contract,Louisiana Port Authority,"Baton Rouge, LA",Port,"$500,000 - $1,800,000",02/03/2026,"Louisiana port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.louisianaport.com,Facilities Director,facilities@louisianaport.com,(LA) Port Operations,true,open,11/05/2025
Louisiana Senior Living & Care - Janitorial Supply Contract,Louisiana Senior Living & Care,"Baton Rouge, LA",Senior Care,"$600,000 - $2,000,000",02/03/2026,Louisiana assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.louisianaseniorcare.com,Procurement Director,procurement@louisianaseniorcare.com,(LA) Senior Care Purchasing,true,open,11/05/2025
Louisiana Retail Chain HQ - Janitorial Supply Contract,Louisiana Retail Chain HQ,"Baton Rouge, LA",Retail,"$1,200,000 - $4,000,000",02/03/2026,Louisiana retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.louisianaretail.com,Corporate Procurement,procurement@louisianaretail.com,(LA) Retail Procurement,true,open,11/05/2025
Louisiana Manufacturing Plant - Janitorial Supply Contract,Louisiana Manufacturing Plant,"Baton Rouge, LA",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Louisiana manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.louisianamanufacturing.com,Operations Manager,operations@louisianamfg.com,(LA) Plant Operations,true,open,11/05/2025
Maine Facilities Management Department - Janitorial Supply Contract,Maine Facilities Management Department,"Augusta, ME",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Maine Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.me.gov,Facilities Director,facilities@dgs.me.gov,(ME) State Facilities Office,true,open,11/05/2025
Maine Department of Education - Janitorial Supply Contract,Maine Department of Education,"Augusta, ME",Education,"$1,000,000 - $5,000,000",02/03/2026,"Maine Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.me.gov,Procurement Services,procurement@education.me.gov,(ME) DOE Procurement,true,open,11/05/2025
Maine University System - Janitorial Supply Contract,Maine University System,"Augusta, ME",Education,"$500,000 - $2,000,000",02/03/2026,Maine government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.maine.gov,Procurement Office,procurement@me.gov,(ME) State Procurement,true,open,11/05/2025
Maine Healthcare Network - Janitorial Supply Contract,Maine Healthcare Network,"Augusta, ME",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Maine healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.mainehealthnetwork.org,Supply Chain Director,procurement@mainehealth.org,(ME) Healthcare Procurement,true,open,11/05/2025
Maine Hospitality Group - Janitorial Supply Contract,Maine Hospitality Group,"Augusta, ME",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Maine hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.mainehospitalitygroup.com,Procurement Manager,purchasing@mainehotels.com,(ME) Hospitality Purchasing,true,open,11/05/2025
Maine Commercial Properties - Janitorial Supply Contract,Maine Commercial Properties,"Augusta, ME",Real Estate,"$600,000 - $2,000,000",02/03/2026,Maine commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.maineproperties.com,Facilities Management,facilities@maineproperties.com,(ME) Property Management,true,open,11/05/2025
Maine Airport Authority - Janitorial Supply Contract,Maine Airport Authority,"Augusta, ME",Airport,"$750,000 - $2,500,000",02/03/2026,"Maine airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.maineairport.com,Facilities Procurement,procurement@maineairport.com,(ME) Airport Operations,true,open,11/05/2025
